bbl,address,on_dhcr_list,stab_units_by_year,stab_units_ever_nonzero,stab_units_latest_year,unit_count,year_built,building_class,is_condo_coop,abatement_type,abatement_end_year,stab_unit_trend,stabilization_confidence,stabilization_confidence_reason,hpd_violation_count_total,hpd_violation_count_open,hpd_violation_count_class_c,hpd_violation_count_open_class_c,building_safety_tier,building_safety_tier_reason
3026440013,967 LORIMER STREET,0,,0,,1.0,1901.0,A9,0,,,not found in any historical mirror year (2009/2011/2012/2013),unknown,"no DHCR registration, abatement, or nycdb unit-count signal, and doesn't meet the pre-1974/6+ unit/non-condo fallback heuristic",,,,,unknown,no HPD violation data loaded for this BBL (not the same as a clean record -- see docstring)
3026440014,965 LORIMER STREET,0,,0,,2.0,1901.0,B2,0,,,not found in any historical mirror year (2009/2011/2012/2013),unknown,"no DHCR registration, abatement, or nycdb unit-count signal, and doesn't meet the pre-1974/6+ unit/non-condo fallback heuristic",,,,,unknown,no HPD violation data loaded for this BBL (not the same as a clean record -- see docstring)
3026440015,963 LORIMER STREET,0,,0,,3.0,1901.0,C0,0,,,not found in any historical mirror year (2009/2011/2012/2013),unknown,"no DHCR registration, abatement, or nycdb unit-count signal, and doesn't meet the pre-1974/6+ unit/non-condo fallback heuristic",13.0,4.0,3.0,3.0,concerning,3 open immediately-hazardous (class C) HPD violation(s)
3026440016,961 LORIMER STREET,0,,0,,3.0,1901.0,C0,0,,,not found in any historical mirror year (2009/2011/2012/2013),unknown,"no DHCR registration, abatement, or nycdb unit-count signal, and doesn't meet the pre-1974/6+ unit/non-condo fallback heuristic",4.0,4.0,0.0,0.0,some_issues,4 open HPD violations (none class C)
3026440017,959 LORIMER STREET,0,,0,,3.0,1901.0,C0,0,,,not found in any historical mirror year (2009/2011/2012/2013),unknown,"no DHCR registration, abatement, or nycdb unit-count signal, and doesn't meet the pre-1974/6+ unit/non-condo fallback heuristic",3.0,0.0,0.0,0.0,clean_record,0 open HPD violations on record
3026440018,957 LORIMER STREET,0,,0,,3.0,1901.0,C0,0,,,not found in any historical mirror year (2009/2011/2012/2013),unknown,"no DHCR registration, abatement, or nycdb unit-count signal, and doesn't meet the pre-1974/6+ unit/non-condo fallback heuristic",,,,,unknown,no HPD violation data loaded for this BBL (not the same as a clean record -- see docstring)
3026440019,955 LORIMER STREET,0,,0,,3.0,1901.0,C0,0,,,not found in any historical mirror year (2009/2011/2012/2013),unknown,"no DHCR registration, abatement, or nycdb unit-count signal, and doesn't meet the pre-1974/6+ unit/non-condo fallback heuristic",2.0,0.0,0.0,0.0,clean_record,0 open HPD violations on record
3026440020,953 LORIMER STREET,0,,0,,3.0,1901.0,C0,0,,,not found in any historical mirror year (2009/2011/2012/2013),unknown,"no DHCR registration, abatement, or nycdb unit-count signal, and doesn't meet the pre-1974/6+ unit/non-condo fallback heuristic",2.0,2.0,0.0,0.0,minimal,2 open HPD violation(s) (none class C)
3026440021,951 LORIMER STREET,0,,0,,3.0,1901.0,C0,0,,,not found in any historical mirror year (2009/2011/2012/2013),unknown,"no DHCR registration, abatement, or nycdb unit-count signal, and doesn't meet the pre-1974/6+ unit/non-condo fallback heuristic",,,,,unknown,no HPD violation data loaded for this BBL (not the same as a clean record -- see docstring)
3026440022,949 LORIMER STREET,0,,0,,3.0,1901.0,C0,0,,,not found in any historical mirror year (2009/2011/2012/2013),unknown,"no DHCR registration, abatement, or nycdb unit-count signal, and doesn't meet the pre-1974/6+ unit/non-condo fallback heuristic",3.0,0.0,0.0,0.0,clean_record,0 open HPD violations on record
3026440023,947 LORIMER STREET,0,,0,,1.0,1901.0,A5,0,,,not found in any historical mirror year (2009/2011/2012/2013),unknown,"no DHCR registration, abatement, or nycdb unit-count signal, and doesn't meet the pre-1974/6+ unit/non-condo fallback heuristic",4.0,4.0,0.0,0.0,some_issues,4 open HPD violations (none class C)
3026440024,945 LORIMER STREET,0,,0,,3.0,1901.0,C0,0,,,not found in any historical mirror year (2009/2011/2012/2013),unknown,"no DHCR registration, abatement, or nycdb unit-count signal, and doesn't meet the pre-1974/6+ unit/non-condo fallback heuristic",,,,,unknown,no HPD violation data loaded for this BBL (not the same as a clean record -- see docstring)
3026440025,943 LORIMER STREET,0,,0,,3.0,1901.0,C0,0,,,not found in any historical mirror year (2009/2011/2012/2013),unknown,"no DHCR registration, abatement, or nycdb unit-count signal, and doesn't meet the pre-1974/6+ unit/non-condo fallback heuristic",1.0,0.0,0.0,0.0,clean_record,0 open HPD violations on record
3026440026,941 LORIMER STREET,0,,0,,3.0,1901.0,C0,0,,,not found in any historical mirror year (2009/2011/2012/2013),unknown,"no DHCR registration, abatement, or nycdb unit-count signal, and doesn't meet the pre-1974/6+ unit/non-condo fallback heuristic",2.0,0.0,0.0,0.0,clean_record,0 open HPD violations on record
3026440027,939 LORIMER STREET,0,,0,,3.0,1901.0,C0,0,,,not found in any historical mirror year (2009/2011/2012/2013),unknown,"no DHCR registration, abatement, or nycdb unit-count signal, and doesn't meet the pre-1974/6+ unit/non-condo fallback heuristic",2.0,0.0,0.0,0.0,clean_record,0 open HPD violations on record
3026440028,937 LORIMER STREET,0,,0,,3.0,1901.0,C0,0,,,not found in any historical mirror year (2009/2011/2012/2013),unknown,"no DHCR registration, abatement, or nycdb unit-count signal, and doesn't meet the pre-1974/6+ unit/non-condo fallback heuristic",1.0,0.0,0.0,0.0,clean_record,0 open HPD violations on record
3026440029,935 LORIMER ST,1,,0,,6.0,1930.0,C2,0,,,"registered in historical mirror: 2009,2011,2012,2013",high,on current DHCR list,,,,,unknown,no HPD violation data loaded for this BBL (not the same as a clean record -- see docstring)
3026440030,933 LORIMER STREET,0,,0,,2.0,1901.0,B3,0,,,not found in any historical mirror year (2009/2011/2012/2013),unknown,"no DHCR registration, abatement, or nycdb unit-count signal, and doesn't meet the pre-1974/6+ unit/non-condo fallback heuristic",,,,,unknown,no HPD violation data loaded for this BBL (not the same as a clean record -- see docstring)
3026440031,929 LORIMER ST,1,,0,,6.0,1930.0,C2,0,,,"registered in historical mirror: 2009,2011,2012,2013",high,on current DHCR list,2.0,2.0,1.0,1.0,concerning,1 open immediately-hazardous (class C) HPD violation(s)
3026440032,927 LORIMER STREET,0,,0,,3.0,1930.0,C0,0,,,not found in any historical mirror year (2009/2011/2012/2013),unknown,"no DHCR registration, abatement, or nycdb unit-count signal, and doesn't meet the pre-1974/6+ unit/non-condo fallback heuristic",4.0,2.0,0.0,0.0,minimal,2 open HPD violation(s) (none class C)
3026440033,925 LORIMER STREET,0,,0,,3.0,1901.0,C0,0,,,not found in any historical mirror year (2009/2011/2012/2013),unknown,"no DHCR registration, abatement, or nycdb unit-count signal, and doesn't meet the pre-1974/6+ unit/non-condo fallback heuristic",1.0,0.0,0.0,0.0,clean_record,0 open HPD violations on record
3026440034,921 LORIMER STREET,0,,0,,3.0,1901.0,C0,0,,,not found in any historical mirror year (2009/2011/2012/2013),unknown,"no DHCR registration, abatement, or nycdb unit-count signal, and doesn't meet the pre-1974/6+ unit/non-condo fallback heuristic",3.0,0.0,0.0,0.0,clean_record,0 open HPD violations on record
3026440035,919 LORIMER STREET,0,,0,,3.0,1901.0,C0,0,,,not found in any historical mirror year (2009/2011/2012/2013),unknown,"no DHCR registration, abatement, or nycdb unit-count signal, and doesn't meet the pre-1974/6+ unit/non-condo fallback heuristic",,,,,unknown,no HPD violation data loaded for this BBL (not the same as a clean record -- see docstring)
3026440036,917 LORIMER ST,1,,0,,6.0,1930.0,C2,0,,,"registered in historical mirror: 2009,2011,2012,2013",high,on current DHCR list,1.0,0.0,0.0,0.0,clean_record,0 open HPD violations on record
3026440037,915 LORIMER STREET,0,,0,,2.0,1901.0,B9,0,,,not found in any historical mirror year (2009/2011/2012/2013),unknown,"no DHCR registration, abatement, or nycdb unit-count signal, and doesn't meet the pre-1974/6+ unit/non-condo fallback heuristic",,,,,unknown,no HPD violation data loaded for this BBL (not the same as a clean record -- see docstring)
