10001,341,W 30TH                        ,ST        ,                    ,,                    
10001,1,W 30TH                        ,ST        ,NON-EVICT COOP/CONDO,,                    
10001,4,W 31ST                        ,ST        ,HOTEL               ,MULTIPLE DWELLING B ,                    
10001,19,W 31ST                        ,ST        ,HOTEL               ,MULTIPLE DWELLING B ,                    
10001,38,W 31ST                        ,,HOTEL               ,MULTIPLE DWELLING B ,ROOMING HOUSE       
10001,501,W 33RD                        ,ST        ,                    ,,                    
10001,50,W 34TH                        ,ST        ,                    ,,                    
10001,440,W 34TH                        ,ST        ,                    ,,                    
10001,455,W 34TH                        ,ST        ,                    ,,                    
10001,433,W 34TH                        ,ST        ,NON-EVICT COOP/CONDO,,                    
10001,426 TO 432          ,W 34TH                        ,ST        ,NON-EVICT COOP/CONDO,,                    
10001,408,W 34TH                        ,ST        ,NON-EVICT COOP/CONDO,,                    
10001,369,W 35TH                        ,ST        ,                    ,,                    
10001,367,W 35TH                        ,ST        ,                    ,,                    
10001,500 TO 504          ,W 35TH                        ,ST        ,                    ,,                    
10001,319,W 35TH                        ,ST        ,                    ,,                    
10001,317,W 35TH                        ,ST        ,                    ,,                    
10001,544,W 35TH                        ,ST        ,                    ,,                    
10001,329,W 35TH                        ,ST        ,                    ,,                    
10001,331,W 35TH                        ,ST        ,                    ,,                    
10001,327,W 35TH                        ,ST        ,                    ,,                    
10001,454,W 35TH                        ,ST        ,                    ,,                    
10001,444,W 35TH                        ,ST        ,421-A               ,,                    
10002,31,ALLEN                         ,ST        ,                    ,                    ,                    
10002,129,ALLEN                         ,ST        ,                    ,                    ,                    
10002,127,ALLEN                         ,ST        ,                    ,                    ,                    
10002,125,ALLEN                         ,ST        ,                    ,                    ,                    
10002,128,ALLEN                         ,ST        ,                    ,,                    
10002,9,ALLEN                         ,ST        ,                    ,,                    
10002,156,ALLEN                         ,ST        ,                    ,,                    
10002,158,ALLEN                         ,ST        ,                    ,,                    
10002,160,ALLEN                         ,ST        ,                    ,,                    
10002,162,ALLEN                         ,ST        ,                    ,,                    
10002,79,ALLEN                         ,ST        ,                    ,,                    
10002,95,ALLEN                         ,ST        ,                    ,,                    
10002,7,ALLEN                         ,ST        ,                    ,,                    
10002,91,ALLEN                         ,ST        ,                    ,,                    
10002,103,ALLEN                         ,ST        ,                    ,,                    
10002,46,ALLEN                         ,ST        ,                    ,,                    
10002,29,ALLEN                         ,ST        ,                    ,,                    
10002,33,ALLEN                         ,ST        ,                    ,,                    
10002,157 TO 159          ,ALLEN                         ,ST        ,                    ,,                    
10002,37,ALLEN                         ,ST        ,                    ,,                    
10002,123,ALLEN                         ,ST        ,                    ,,                    
10002,19,ALLEN                         ,ST        ,                    ,,                    
10002,166,ALLEN                         ,ST        ,                    ,,                    
10002,83,ALLEN                         ,ST        ,                    ,,                    
10002,97,ALLEN                         ,ST        ,                    ,,                    
10002,205,ALLEN                         ,ST        ,                    ,,                    
10002,201,ALLEN                         ,ST        ,                    ,,                    
10002,164,ALLEN                         ,ST        ,                    ,,                    
10002,154,ALLEN                         ,          ,                    ,,                    
10002,137,ALLEN                         ,ST        ,GARDEN COMPLEX      ,,                    
10002,93,ALLEN                         ,ST        ,J-51                ,,                    
10002,37.5,ALLEN                         ,ST        ,J-51                ,,                    
10002,81,ALLEN                         ,ST        ,J-51                ,,ARTICLE 11          
10002,161,ALLEN                         ,ST        ,LIHTC               ,,ARTICLES 14 & 15    
10002,163,ALLEN                         ,ST        ,MULTI DWELLING      ,,                    
10002,50,ALLEN                         ,ST        ,MULTIPLE DWELLING   ,,                    
10002,52,ALLEN                         ,ST        ,MULTIPLE DWELLING   ,,                    
10002,151 TO 153          ,ALLEN                         ,ST        ,MULTIPLE DWELLING   ,,                    
10002,3,ALLEN                         ,ST        ,MULTIPLE DWELLING   ,,                    
10002,21,ALLEN                         ,ST        ,ROOMING HOUSE       ,,J-51                
10002,99,ALLEN                         ,ST        ,ROOMING HOUSE       ,,                    
10002,92,ALLEN                         ,ST        ,TENEMENT            ,,                    
10002,13,ALLEN                         ,ST        ,                    ,,                    
10002,30,ALLEN                         ,ST        ,,,
10002,32,ALLEN                         ,ST        ,,,
10002,38,ALLEN                         ,ST        ,,,
10002,100,ALLEN                         ,ST        ,,,
10002,132,ALLEN                         ,ST        ,,,
10002,172,ATTORNEY                      ,ST        ,                    ,,                    
10002,168 TO 170          ,ATTORNEY                      ,ST        ,,,                    
10002,146,ATTORNEY                      ,ST        ,,,
10002,231,BOWERY                        ,          ,                    ,,                    
10002,81,BOWERY                        ,          ,CUBICLES            ,,                    
10002,247,BROOME                        ,ST        ,                    ,                    ,                    
10002,303 TO 305          ,BROOME                        ,ST        ,                    ,                    ,                    
10002,275,BROOME                        ,ST        ,                    ,,                    
10002,282,BROOME                        ,ST        ,                    ,,                    
10002,334,BROOME                        ,ST        ,                    ,,                    
10002,288,BROOME                        ,ST        ,                    ,,                    
10002,299,BROOME                        ,ST        ,                    ,,                    
10002,279,BROOME                        ,ST        ,                    ,,                    
10002,295,BROOME                        ,ST        ,                    ,,                    
10002,248,BROOME                        ,ST        ,                    ,,                    
10002,250,BROOME                        ,ST        ,                    ,,                    
10002,254,BROOME                        ,ST        ,                    ,,                    
10002,252,BROOME                        ,ST        ,                    ,,                    
10002,262,BROOME                        ,ST        ,                    ,,                    
10002,253 TO 257          ,BROOME                        ,ST        ,                    ,,                    
10002,245,BROOME                        ,ST        ,                    ,,                    
10002,283,BROOME                        ,ST        ,                    ,,                    
10002,263,BROOME                        ,ST        ,                    ,,                    
10002,249,BROOME                        ,ST        ,GARDEN COMPLEX      ,,                    
10002,325,BROOME                        ,ST        ,J-51                ,,                    
10002,261,BROOME                        ,ST        ,                    ,,                    
10002,52,CANAL                         ,ST        ,                    ,,                    
10002,27 TO 29            ,CANAL                         ,ST        ,                    ,,                    
10002,25,CANAL                         ,ST        ,                    ,,                    
10002,70 TO 72            ,CANAL                         ,,,,
10002,155,CHRYSTIE                      ,ST        ,MULTIPLE DWELLING B ,,                    
10002,159,CHRYSTIE                      ,ST        ,MULTIPLE DWELLING B ,,                    
10002,157,CHRYSTIE                      ,ST        ,MULTIPLE DWELLING B ,,                    
10002,97,CHRYSTIE                      ,ST        ,MULTIPLE DWELLING B ,,                    
10002,87,CHRYSTIE                      ,ST        ,                    ,                    ,                    
10002,73 TO 75            ,CHRYSTIE                      ,ST        ,                    ,,                    
10002,79,CHRYSTIE                      ,ST        ,                    ,,                    
10002,101,CHRYSTIE                      ,ST        ,                    ,,                    
10002,95,CHRYSTIE                      ,ST        ,                    ,,                    
10002,187,CHRYSTIE                      ,ST        ,                    ,,                    
10002,111,CHRYSTIE                      ,ST        ,                    ,,                    
10002,123,CHRYSTIE                      ,ST        ,                    ,,                    
10002,177,CHRYSTIE                      ,ST        ,                    ,,                    
10002,81 TO 83            ,CHRYSTIE                      ,ST        ,APT BUILDING        ,,                    
10002,135,CHRYSTIE                      ,ST        ,GARDEN COMPLEX      ,,                    
10002,137,CHRYSTIE                      ,ST        ,GARDEN COMPLEX      ,,                    
